Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
C0HKC3	PA2B1_AGKPL	reviewed	Basic phospholipase A2 APL-D49 (svPLA2) (EC 3.1.1.4) (Apl-D49) (AplP3) (Phosphatidylcholine 2-acylhydrolase)		Agkistrodon piscivorus leucostoma (Western cottonmouth) (Acontias leucostoma)	139	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DQQ0	PA2B3_BOTBZ	reviewed	Basic phospholipase A2 BbTX-III (svPLA2) (EC 3.1.1.4) (Brazilitoxin III) (BbTX-III) (Phosphatidylcholine 2-acylhydrolase)		Bothrops brazili (Brazil's lancehead)	121	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DI88	OXLA_BOTJA	reviewed	L-amino-acid oxidase (BjarLAAO-I) (LAO) (EC 1.4.3.2) (Fragment)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	37	Flavin monoamine oxidase family, FIG1 subfamily
C0HK16	PA2BD_DABRR	reviewed	Basic phospholipase A2 daboxin P (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Daboia russelii (Russel's viper) (Vipera russelii)	121	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q6H3C5	PA2BB_TRIST	reviewed	Basic phospholipase A2 Ts-G6D49 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P70089	PA2H7_TRIGA	reviewed	Basic phospholipase A2 homolog 7 (svPLA2 homolog) (Phospholipase A2 isozyme VII) (PLA2-VII)		Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P0C2D3	OXLA_ERIMA	reviewed	L-amino-acid oxidase (LAAO) (LNV-LAO) (EC 1.4.3.2) (Fragment)		Eristicophis macmahoni (Leaf-nosed viper)	27	Flavin monoamine oxidase family, FIG1 subfamily
Q9PVF3	PA2HB_CALRH	reviewed	Basic phospholipase A2 homolog G6K49 (svPLA2 homolog) (CRV/TMV/DAV-K49)		Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P14421	PA2N_GLOHA	reviewed	Neutral phospholipase A2 agkistrodotoxin (AGTX) (ATX) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Gloydius halys (Chinese water mocassin) (Agkistrodon halys)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
A4VBF0	PA2H_VIPBN	reviewed	Acidic phospholipase A2 inhibitor chain HPD-1I (svPLA2 homolog) (Heterodimeric neurotoxic phospholipases A2 acidic subunit)		Vipera berus nikolskii (Nikolsky's adder) (Vipera nikolskii)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
A8Y7P4	VKTB4_DABSI	reviewed	Kunitz-type serine protease inhibitor B4 (BPTI-4) (Trypsin inhibitor 4) (Trypsin inhibitor B4)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	84	Venom Kunitz-type family
P0DL42	TXVE_DABSI	reviewed	Snake venom vascular endothelial growth factor toxin VR-1' (svVEGF) (VEGF-F)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	109	PDGF/VEGF growth factor family, Snake venom VEGF subfamily
Q9PTL3	VSPSA_GLOBR	reviewed	Snake venom serine protease salmonase (SVSP) (EC 3.4.21.-)		Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halys brevicaudus)	257	Peptidase S1 family, Snake venom subfamily
P0DKY5	VSP_CRODC	reviewed	Thrombin-like enzyme F202 (SVTLE) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP) (Fragment)		Crotalus durissus cascavella (Northeastern Brazilian rattlesnake)	44	Peptidase S1 family, Snake venom subfamily
P0DJG7	VSP2_DEIAC	reviewed	Thrombin-like enzyme acutobin-2 (SVTLE) (EC 3.4.21.-) (Acutobin II) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP) (Fragment)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	15	Peptidase S1 family, Snake venom subfamily
P31988	VM2_BOTCO	reviewed	Disintegrin cotiarin (Platelet aggregation activation inhibitor)		Bothrops cotiara (Cotiara) (Rhinocerophis cotiara)	72	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
Q0NZY0	VM3B1_BOTJA	reviewed	Zinc metalloproteinase-disintegrin-like bothrojarin-1 (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP) (Fragment)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	166	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily
P84035	VM3BA_BOTAS	reviewed	Snake venom metalloproteinase basparin-A (SVMP) (EC 3.4.24.-) (Fragments)		Bothrops asper (Terciopelo)	63	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily
P85040	VKTC9_DABSI	reviewed	Kunitz-type serine protease inhibitor C9 (BPTI-9) (Chymotrypsin inhibitor 9) (Chymotrypsin inhibitor C9) (Fragment)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	18	Venom Kunitz-type family
P24541	VKT_ERIMA	reviewed	Kunitz-type serine protease inhibitor (Venom trypsin inhibitor)		Eristicophis macmahoni (Leaf-nosed viper)	62	Venom Kunitz-type family
P28891	VM1F_AGKCO	reviewed	Snake venom metalloproteinase fibrolase (SVMP) (EC 3.4.24.72) (Fibrinolytic metalloproteinase) (Fibrinolytic proteinase) (Alfimeprase)		Agkistrodon contortrix contortrix (Southern copperhead)	203	Venom metalloproteinase (M12B) family, P-I subfamily
P0DM97	VM25A_BITAR	reviewed	Zinc metalloproteinase-disintegrin BA-5A (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP)		Bitis arietans (African puff adder)	515	Venom metalloproteinase (M12B) family, P-II subfamily
P31984	VM2I_CROMM	reviewed	Disintegrin molossin (Platelet aggregation activation inhibitor)		Crotalus molossus molossus (Northern black-tailed rattlesnake)	73	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
U5PZ28	VM2H1_BOTLA	reviewed	Zinc metalloproteinase-disintegrin BlatH1 (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP)		Bothriechis lateralis (Side-striped palm pitviper)	484	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIc sub-subfamily
P0C6A5	VM2A6_VIPAA	reviewed	Disintegrin VA6		Vipera ammodytes ammodytes (Western sand viper)	64	Venom metalloproteinase (M12B) family, P-II subfamily, P-IId sub-subfamily
P17347	VM2EA_ECHCS	reviewed	Disintegrin echistatin-alpha (Carinatin) (Platelet aggregation activation inhibitor) [Cleaved into: Disintegrin echistatin-alpha-1; Disintegrin echistatin-alpha-2]		Echis carinatus sochureki (Saw-scaled viper)	49	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
Q7LZI5	VM2I1_GLOUS	reviewed	Disintegrin ussuristatin-1 (US-1)		Gloydius ussuriensis (Ussuri mamushi) (Gloydius blomhoffii ussuriensis)	71	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
Q7LZT4	VM2I2_GLOUS	reviewed	Disintegrin ussuristatin-2 (US-2)		Gloydius ussuriensis (Ussuri mamushi) (Gloydius blomhoffii ussuriensis)	71	Venom metalloproteinase (M12B) family, P-II subfamily, P-IId sub-subfamily
C9E1S0	VM3V3_AGKPL	reviewed	Zinc metalloproteinase-disintegrin-like VMP-III (AplVMP-III) (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP)		Agkistrodon piscivorus leucostoma (Western cottonmouth) (Acontias leucostoma)	613	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily
Q4VM08	VM3VA_MACLB	reviewed	Zinc metalloproteinase-disintegrin-like VLAIP-A (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP) (Vipera lebetina apoptosis-inducing protein)		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	616	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIc sub-subfamily
P0C5B4	VSPGL_GLOSH	reviewed	Thrombin-like enzyme gloshedobin (SVTLE) (EC 3.4.21.-) (Defibrase) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP)		Gloydius shedaoensis (Shedao island pit viper) (Agkistrodon shedaoensis)	260	Peptidase S1 family, Snake venom subfamily
Q9PRY9	VSP_BITAR	reviewed	Snake venom serine proteinase (SVSP) (Kallidin-releasing enzyme) (EC 3.4.21.-) (Fragment)		Bitis arietans (African puff adder)	32	Peptidase S1 family, Snake venom subfamily
P05620	VSP1_PROFL	reviewed	Thrombin-like enzyme flavoxobin (SVTLE) (EC 3.4.21.74) (Fibrinogen-clotting enzyme) (Habutobin) (Snake venom serine protease 1) (SVSP)	TLF1	Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	260	Peptidase S1 family, Snake venom subfamily
J9Z332	VM2_CROAD	reviewed	Zinc metalloproteinase-disintegrin VMP-II (CamVMP-II) (EC 3.4.24.-) (Disintegrin r-Cam-dis) (Snake venom metalloproteinase) (SVMP)		Crotalus adamanteus (Eastern diamondback rattlesnake)	488	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIb sub-subfamily
Q9IAY1	VM1H2_DEIAC	reviewed	Snake venom metalloproteinase H2 (SVMP) (EC 3.4.24.-) (Fragment)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	400	Venom metalloproteinase (M12B) family, P-I subfamily
Q90YA6	VM2E2_PROEL	reviewed	Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase (SVMP) (EC 3.4.24.-); Disintegrin elegantin-2a; Disintegrin elegantin-2b; Disintegrin elegantin-2c; Disintegrin elegantin-2d; Disintegrin elegantin-2e; Disintegrin elegantin-2f]		Protobothrops elegans (Elegant pitviper) (Trimeresurus elegans)	481	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
P81824	VSP1_BOTJA	reviewed	Platelet-aggregating proteinase PA-BJ (EC 3.4.21.-) (Snake venom serine protease) (SVSP) (Fragment)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	237	Peptidase S1 family, Snake venom subfamily
Q9PRP4	VSPF_LACMR	reviewed	Thrombin-like enzyme LMR-47 (SVTLE LM-47) (SVTLE LMR-47) (EC 3.4.21.74) (Fibrinogen-clotting enzyme) (Gyroxin analog) (Snake venom serine protease) (SVSP) (Venombin A) (Fragment)		Lachesis muta rhombeata (Bushmaster)	30	Peptidase S1 family, Snake venom subfamily
Q91507	VSP1_PROMU	reviewed	Beta-fibrinogenase mucrofibrase-1 (EC 3.4.21.-) (Snake venom serine protease) (SVSP) (Tm-VIG)		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	257	Peptidase S1 family, Snake venom subfamily
Q6X1T6	VM3E6_ECHOC	reviewed	Zinc metalloproteinase-disintegrin-like EoMP06 (EC 3.4.24.-) (Prothrombin activator EoMP06) (Snake venom metalloprotease) (SVMP) (Fragment)		Echis ocellatus (Ocellated saw-scaled viper)	515	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily
Q1PHZ4	VM3B1_BOTJR	reviewed	Zinc metalloproteinase-disintegrin-like BjussuMP-1 (EC 3.4.24.-) (BjussuMP-I) (Snake venom metalloproteinase) (SVMP) (Fragment)		Bothrops jararacussu (Jararacussu)	547	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily
P00991	VKT1_VIPAA	reviewed	Kunitz-type serine protease inhibitor 1 (Venom basic protease inhibitor 1) (Venom trypsin inhibitor I) (cVamTi)		Vipera ammodytes ammodytes (Western sand viper)	90	Venom Kunitz-type family
P0DKR0	VM3_BOTMO	reviewed	Zinc metalloproteinase-disintegrin-like moojenin (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP) [Cleaved into: Disintegrin-like] (Fragment)		Bothrops moojeni (Lance-headed viper) (Caissaca)	33	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIb sub-subfamily
A5X2X1	VKT_SISCA	reviewed	Fused toxin protein		Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii)	152	Venom Kunitz-type family
Q5W958	VSP20_BOTJA	reviewed	Venom serine proteinase-like HS120 (Snake venom serine protease homolog)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	253	Peptidase S1 family, Snake venom subfamily
P18964	VSPA_DABSI	reviewed	Factor V activator RVV-V alpha (EC 3.4.21.95) (Russel's viper venom FV activator alpha) (RVV-V alpha) (Snake venom serine protease) (SVSP)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	236	Peptidase S1 family, Snake venom subfamily
Q6IWF1	VSPTL_BOTAL	reviewed	Snake venom serine protease BthaTL (SVSP) (EC 3.4.21.-)		Bothrops alternatus (Urutu) (Rhinocerophis alternatus)	233	Peptidase S1 family, Snake venom subfamily
Q801Z4	VM2_BOTAL	reviewed	Disintegrin DisBa-01		Bothrops alternatus (Urutu) (Rhinocerophis alternatus)	78	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
A8Y7P2	VKTB2_DABSI	reviewed	Kunitz-type serine protease inhibitor B2 (BPTI-2) (Trypsin inhibitor 2) (Trypsin inhibitor B2)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	84	Venom Kunitz-type family
P83942	TXVE_VIPAP	reviewed	Snake venom vascular endothelial growth factor toxin HF (svVEGF) (Heparin-binding dimeric hypotensive factor) (VEGF-F)		Vipera aspis aspis (Aspic viper)	110	PDGF/VEGF growth factor family, Snake venom VEGF subfamily
P81661	VSPA_BOTJA	reviewed	Thrombin-like enzyme bothrombin (SVTLE) (EC 3.4.21.74) (Factor VIII activator) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP) (Venombin A)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	232	Peptidase S1 family, Snake venom subfamily
Q9PTU8	VSP3_BOTJA	reviewed	Snake venom serine protease BPA (SVSP) (EC 3.4.21.-) (Bothrops protease A) (BPA)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	258	Peptidase S1 family, Snake venom subfamily
Q7LZF6	VSPE2_CROAT	reviewed	Kallikrein-like EII (EC 3.4.21.-) (Fragment)		Crotalus atrox (Western diamondback rattlesnake)	25	Peptidase S1 family, Snake venom subfamily
C5H5D6	VM32_LACMR	reviewed	Zinc metalloproteinase-disintegrin-like lachestatin-2 (EC 3.4.24.-) (Snake venom metalloprotease) (SVMP) (Vascular apoptosis-inducing protein-like) (VAP-like)		Lachesis muta rhombeata (Bushmaster)	421	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIc sub-subfamily
P67863	TXVE_VIPAA	reviewed	Snake venom vascular endothelial growth factor toxin vammin (svVEGF) (VEGF-F)		Vipera ammodytes ammodytes (Western sand viper)	145	PDGF/VEGF growth factor family, Snake venom VEGF subfamily
E0Y420	VSP3_MACLB	reviewed	Serine protease VLSP-3 (EC 3.4.21.-) (Snake venom serine protease) (SVSP)		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	258	Peptidase S1 family, Snake venom subfamily
P84788	VSP1_PROEL	reviewed	Thrombin-like enzyme elegaxobin-1 (SVTLE) (EC 3.4.21.-) (Elegaxobin I) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP)		Protobothrops elegans (Elegant pitviper) (Trimeresurus elegans)	233	Peptidase S1 family, Snake venom subfamily
Q58G94	VSP21_CRODU	reviewed	Thrombin-like enzyme gyroxin B2.1 (SVTLE gyroxin B2.1) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP)		Crotalus durissus terrificus (South American rattlesnake)	238	Peptidase S1 family, Snake venom subfamily
O13063	VSP3_TRIGA	reviewed	Snake venom serine protease 3 (SVSP 3) (EC 3.4.21.-)	TLG3	Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper)	258	Peptidase S1 family, Snake venom subfamily
Q9YGJ2	VSP1_GLOHA	reviewed	Snake venom serine protease pallabin (SVSP) (EC 3.4.21.-)	JZTHR5	Gloydius halys (Chinese water mocassin) (Agkistrodon halys)	260	Peptidase S1 family, Snake venom subfamily
B0FXM1	VSP13_CRODU	reviewed	Thrombin-like enzyme gyroxin B1.3 (SVTLE gyroxin B1.3) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP)		Crotalus durissus terrificus (South American rattlesnake)	262	Peptidase S1 family, Snake venom subfamily
Q9I8X0	VSP3_DEIAC	reviewed	Snake venom serine protease Dav-KN (SVSP) (EC 3.4.21.-)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	257	Peptidase S1 family, Snake venom subfamily
P31989	VM2JC_BOTJA	reviewed	Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase (SVMP) (EC 3.4.24.-); Disintegrin jararacin (Platelet aggregation activation inhibitor); Disintegrin jararacin-AGEEC; Disintegrin jararacin-GEEC; Disintegrin jararacin-EC] (Fragment)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	161	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
P0C6E4	VM2JN_PROJR	reviewed	Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase (SVMP) (EC 3.4.24.-); Disintegrin jerdonatin]		Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii)	483	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
E9NW28	VM2P3_PROMU	reviewed	Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase PMMP-3 (SVMP) (EC 3.4.24.-)] (Fragment)		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	411	Venom metalloproteinase (M12B) family, P-II subfamily
Q0NZX8	VM3B3_BOTJA	reviewed	Zinc metalloproteinase-disintegrin-like bothrojarin-3 (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP) (Fragment)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	196	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily
Q9PS48	VMXCA_CROAT	reviewed	Snake venom metalloproteinase catroxase (SVMP) (EC 3.4.21.-) (Fragment)		Crotalus atrox (Western diamondback rattlesnake)	25	Venom metalloproteinase (M12B) family
P0DM43	VSP_PROJR	reviewed	Thrombin-like enzyme jerdonobin (SVTLE) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP) (Fragment)		Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii)	21	Peptidase S1 family, Snake venom subfamily
Q9PRW3	VSPA2_CROAT	reviewed	Alpha-fibrinogenase A2 (EC 3.4.21.-) (Snake venom serine protease) (SVSP) (Fragment)		Crotalus atrox (Western diamondback rattlesnake)	15	Peptidase S1 family, Snake venom subfamily
Q71QI0	VSP07_TRIST	reviewed	Snake venom serine protease homolog KN7		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	260	Peptidase S1 family, Snake venom subfamily
P0DL26	VSP27_BOTPI	reviewed	Thrombin-like enzyme BpirSP27 (SVTLE) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP) (Fragment)		Bothrops pirajai (Piraja's lancehead)	50	Peptidase S1 family, Snake venom subfamily
Q9PSN3	VSP2_AGKBI	reviewed	Thrombin-like enzyme bilineobin (SVTLE) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP)		Agkistrodon bilineatus (Cantil) (Tropical moccasin)	235	Peptidase S1 family, Snake venom subfamily
P22828	VM2I_SISTE	reviewed	Disintegrin tergeminin (Platelet aggregation activation inhibitor)		Sistrurus tergeminus (Western massasauga) (Sistrurus catenatus tergeminus)	73	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
P0C6R5	VM2MU_ECHML	reviewed	Disintegrin multisquamatin		Echis multisquamatus (Central Asian sand viper)	52	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
P86536	VM3CX_DABRR	reviewed	Coagulation factor X-activating enzyme heavy chain (EC 3.4.24.58) (Coagulation factor X-activating enzyme chain alpha) (RVV-X heavy chain) (Snake venom metalloproteinase) (SVMP) (Fragment)		Daboia russelii (Russel's viper) (Vipera russelii)	19	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIId sub-subfamily
Q0NZX5	VM2JA_BOTJA	reviewed	Disintegrin jarastatin (JT) (Platelet aggregation activation inhibitor) [Cleaved into: Disintegrin jarastatin; Disintegrin jarastatin-AGEEC; Disintegrin jarastatin-GEEC; Disintegrin jarastatin-EC] (Fragment)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	88	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
P0C7A7	VM2LA_ECHLE	reviewed	Disintegrin leucogastin-A		Echis leucogaster (Roman's saw-scaled viper) (Echis carinatus leucogaster)	48	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
Q2ES48	VKT3_DABRR	reviewed	Kunitz-type serine protease inhibitor 3 (Kunitz protease inhibitor 3) (Kunitz protease inhibitor III)		Daboia russelii (Russel's viper) (Vipera russelii)	84	Venom Kunitz-type family
Q7SZD9	VM2US_GLOUS	reviewed	Zinc metalloproteinase/disintegrin ussurin [Cleaved into: Snake venom metalloproteinase ussurin (SVMP) (EC 3.4.24.-); Disintegrin ussurin]		Gloydius ussuriensis (Ussuri mamushi) (Gloydius blomhoffii ussuriensis)	478	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
Q9IAX6	VM2M2_DEIAC	reviewed	Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase MD2 (SVMP) (EC 3.4.24.-) (DaMD2); Disintegrin] (Fragment)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	466	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
C5H5D1	VM31_CRODC	reviewed	Zinc metalloproteinase-disintegrin-like crotastatin (EC 3.4.24.-) (Crotastatin-1) (Snake venom metalloprotease) (SVMP) (Vascular apoptosis-inducing protein-like) (VAP-like) (Fragment)		Crotalus durissus cascavella (Northeastern Brazilian rattlesnake)	418	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIc sub-subfamily
P0DJH5	VM3DM_DABSI	reviewed	Zinc metalloproteinase-disintegrin-like daborhagin-M (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP) (Fragment)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	25	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily
O13059	VSP1_TRIGA	reviewed	Snake venom serine protease 1 (SVSP 1) (EC 3.4.21.-)	TLG1	Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper)	258	Peptidase S1 family, Snake venom subfamily
Q71QI7	VSP11_TRIST	reviewed	Snake venom serine protease KN11 (SVSP) (EC 3.4.21.-)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	257	Peptidase S1 family, Snake venom subfamily
P0DJG6	VSP_CROVV	reviewed	Snake venom serine protease (SVSP) (EC 3.4.21.-) (Fragment)		Crotalus viridis viridis (Prairie rattlesnake)	30	Peptidase S1 family, Snake venom subfamily
Q7SZE2	VSPD_GLOUS	reviewed	Bradykinin-releasing enzyme KR-E-1 (Snake venom serine protease) (SVSP) (Thrombin-like enzyme defibrase) (EC 3.4.21.-)		Gloydius ussuriensis (Ussuri mamushi) (Gloydius blomhoffii ussuriensis)	234	Peptidase S1 family, Snake venom subfamily
O93421	VSPPE_GLOHA	reviewed	Snake venom serine protease pallase (SVSP pallase) (EC 3.4.21.-)		Gloydius halys (Chinese water mocassin) (Agkistrodon halys)	236	Peptidase S1 family, Snake venom subfamily
Q2UXQ5	VM3E2_ECHOC	reviewed	Zinc metalloproteinase-disintegrin-like EoVMP2 (EC 3.4.24.-) (Haemorrhagic 56 kDa metalloproteinase) (Snake venom metalloproteinase) (SVMP) (Zinc metalloproteinase-disintegrin-like Eoc22)	Svmp3-Eoc22 EOC00022-SVMP	Echis ocellatus (Ocellated saw-scaled viper)	613	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily
P0C7N3	VM3CR_CROVV	reviewed	Zinc metalloproteinase-disintegrin-like crovidisin (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP) (Fragments)		Crotalus viridis viridis (Prairie rattlesnake)	51	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily
O73795	VM2MB_GLOBR	reviewed	Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase Mt-b (SVMP) (EC 3.4.24.-); Disintegrin]		Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halys brevicaudus)	505	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
P30431	VM3JA_BOTJA	reviewed	Zinc metalloproteinase-disintegrin-like jararhagin (EC 3.4.24.73) (HF2-proteinase) (JG) (Jararafibrase I) (JF I) (Snake venom metalloproteinase) (SVMP) [Cleaved into: Disintegrin-like jararhagin-C (Jaracetin)] (Fragment)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	571	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIb sub-subfamily
E5AJX3	VKT_VIPBN	reviewed	Kunitz-type serine protease inhibitor ki-VN		Vipera berus nikolskii (Nikolsky's adder) (Vipera nikolskii)	95	Venom Kunitz-type family
P0DKL8	VKT_VIPRE	reviewed	Kunitz-type serine protease inhibitor Vur-KIn [Cleaved into: Kunitz-type serine protease inhibitor Vur-KIn, truncated]		Vipera renardi (Steppe viper) (Vipera ursinii renardi)	66	Venom Kunitz-type family
Q7LZ26	XI_DEIAC	reviewed	Coagulation factor X inhibitor (Fragment)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	12	
Q92032	VM1AH_AGKCL	reviewed	Snake venom metalloproteinase ACLH (SVMP) (EC 3.4.24.-) (ACL hemorrhagic toxin I) (ACLH-I) (ACLHT-I) (Hemorrhagic metalloproteinase ACLH)		Agkistrodon contortrix laticinctus (Broad-banded copperhead) (Agkistrodon mokasen laticinctus)	407	Venom metalloproteinase (M12B) family, P-I subfamily
Q9PW35	VM1AA_DEIAC	reviewed	Snake venom metalloproteinase acutolysin-A (SVMP) (EC 3.4.24.-) (Hemorrhagin I) (HI)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	413	Venom metalloproteinase (M12B) family, P-I subfamily
P34182	VM2AE_CROAT	reviewed	Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase atrolysin-E (SVMP) (EC 3.4.24.44) (Hemorrhagic metalloproteinase HT-E) (Hemorrhagic toxin E); Disintegrin atrolysin-E (Atrolysin-E disintegrin) (Atrolysin E/D); Disintegrin atrolysin-E (4-73); Disintegrin atrolysin-E (3-73)]		Crotalus atrox (Western diamondback rattlesnake)	478	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily
